,age,#words,#sentences,#anwps
count,51595.0,51595.0,51595.0,51595.0
mean,32.293187324353134,283.4161643570113,14.509894369609459,21.573936936350034
std,9.402740018417312,228.72183294114188,10.903824678602746,15.928062086167046
min,18.0,1.0,1.0,1.0
25%,26.0,137.0,7.0,14.5
50%,30.0,235.0,12.0,18.647058823529417
75%,37.0,371.0,19.0,24.285714285714285
max,109.0,11101.0,260.0,626.0
